"iso3","region","year","life_expectancy","healthy_life_expectancy","health_exp_pct_gdp","gap"
"AGO","Africa",2000,49.36774351,42.8471807,1.68525279,6.52056280999999
"AGO","Africa",2001,50.06036648,43.42967742,3.95882654,6.63068906
"AGO","Africa",2002,51.05750193,44.27867087,2.9398222,6.77883106
"AGO","Africa",2003,51.74053195,44.87989285,3.10680342,6.8606391
"AGO","Africa",2004,52.3558271,45.43836443,3.46084046,6.91746267
"AGO","Africa",2005,53.34585395,46.28798858,2.54726577,7.05786537
"AGO","Africa",2006,54.27926946,47.10596653,2.39833426,7.17330293
"AGO","Africa",2007,55.35489997,48.04794308,2.65790844,7.30695689
"AGO","Africa",2008,56.22016209,48.8268575,2.97807598,7.39330459
"AGO","Africa",2009,57.07394875,49.59239612,3.30655909,7.48155263
"AGO","Africa",2010,57.96461105,50.36859207,2.36373854,7.59601898
"AGO","Africa",2011,58.75334146,51.05446448,2.35561895,7.69887698
"AGO","Africa",2012,59.46233734,51.67331406,2.13677311,7.78902328
"AGO","Africa",2013,60.21682799,52.32705987,2.4297719,7.88976812
"AGO","Africa",2014,61.13534716,53.09963627,2.15680027,8.03571089
"AGO","Africa",2015,61.59307464,53.49860069,2.29966879,8.09447394999999
"AGO","Africa",2016,61.84956314,53.72970361,2.39068723,8.11985953
"AGO","Africa",2017,62.03682911,53.90308468,2.4379425,8.13374443
"AGO","Africa",2018,62.27158067,54.11595761,2.29887486,8.15562306
"AGO","Africa",2019,62.49147407,54.31664954,2.20394278,8.17482453
"AGO","Africa",2020,62.64827403,54.32812945,2.81688905,8.32014458
"AGO","Africa",2021,62.13113467,53.76187008,2.73987103,8.36926459
"BDI","Africa",2000,44.3609182,38.7963474,4.22181606,5.5645708
"BDI","Africa",2001,45.560229,39.78856821,5.68180418,5.77166079
"BDI","Africa",2002,46.77202104,40.81189024,5.34983587,5.9601308
"BDI","Africa",2003,47.93043118,41.79675643,5.27245188,6.13367475
"BDI","Africa",2004,49.43158352,43.07729666,7.09572744,6.35428686
"BDI","Africa",2005,50.9090504,44.32195311,7.56016588,6.58709729
"BDI","Africa",2006,54.95514765,47.78586687,8.71264839,7.16928078
"BDI","Africa",2007,56.45412415,49.10419145,9.1855402,7.3499327
"BDI","Africa",2008,57.79081906,50.29211608,7.74147511,7.49870298
"BDI","Africa",2009,58.71584557,51.14686843,9.23238468,7.56897714
"BDI","Africa",2010,59.59915923,51.94288706,11.28196716,7.65627217
"BDI","Africa",2011,60.40539714,52.65954088,10.06996346,7.74585626
"BDI","Africa",2012,61.17471181,53.34471532,8.63756466,7.82999649
"BDI","Africa",2013,61.79608792,53.90851483,8.62834644,7.88757309
"BDI","Africa",2014,62.32268744,54.38874044,7.21081543,7.933947
"BDI","Africa",2015,62.7069542,54.73741688,6.29044485,7.96953732
"BDI","Africa",2016,63.24117705,55.21752537,7.06148243,8.02365168
"BDI","Africa",2017,63.68241574,55.61667743,6.95230389,8.06573831
"BDI","Africa",2018,64.02759286,55.93342516,7.29396152,8.0941677
