"cause","MeanDecreaseAccuracy","MeanDecreaseGini"
"Musculoskeletal diseases",18.56449741507,19.0313145141354
"Malignant neoplasms",15.876834839849,15.1942271118457
"Oral conditions",14.5529643593051,12.6740805836173
"Neurological conditions",9.59819599420578,7.63875892278045
"Digestive diseases",11.7312819659823,6.50386933762218
"Cardiovascular diseases",11.6577669111679,5.93295581293306
"Nutritional deficiencies",10.0703636305806,5.53099480585012
"Other neoplasms",9.54646073797903,3.85722797159616
"Sense organ diseases",7.73062657290707,2.51963676294842
"Congenital anomalies",8.37351258800365,1.88567581696107
"Infectious and parasitic diseases",5.00818278886356,1.8693381107747
"Unintentional injuries",4.89845536139623,1.8049697139712
"Maternal conditions",6.89438512114217,1.22968720429624
"Endocrine, blood, immune disorders",5.39265030232844,0.611750635285482
"Mental and substance use disorders",4.4029661982255,0.596518992447292
"Genitourinary diseases",4.4493471731816,0.534266591617236
"Diabetes mellitus",1.73101486733582,0.513668031439483
"Neonatal conditions",4.5672646343077,0.5136207571343
"Respiratory diseases",4.5698792391452,0.370876356612063
"Intentional injuries",2.66259165176101,0.342281291990271
"Respiratory Infectious",2.25136160054677,0.32421669430973
"Skin diseases",2.55589981870462,0.213512628480748
