"iso3","cluster"
"AFG",2
"ALB",1
"DZA",2
"AGO",2
"ATG",1
"ARG",1
"ARM",1
"AUS",1
"AUT",1
"AZE",2
"BHS",1
"BHR",2
"BGD",2
"BRB",1
"BLR",1
"BEL",1
"BLZ",2
"BEN",2
"BTN",2
"BOL",2
"BIH",1
"BWA",2
"BRA",1
"BRN",2
"BGR",1
"BFA",2
"BDI",2
"CPV",2
"KHM",2
"CMR",2
"CAN",1
"CAF",2
"TCD",2
"CHL",1
"CHN",1
"COL",1
"COM",2
"COG",2
"CRI",1
"CIV",2
"HRV",1
"CUB",1
"CYP",1
"CZE",1
"PRK",1
"COD",2
"DNK",1
"DJI",2
"DOM",2
"ECU",1
"EGY",2
"SLV",2
"GNQ",2
"ERI",2
"EST",1
"SWZ",2
"ETH",2
"FJI",2
"FIN",1
"FRA",1
"GAB",2
"GMB",2
"GEO",1
"DEU",1
"GHA",2
"GRC",1
"GRD",1
"GTM",2
"GIN",2
"GNB",2
"GUY",2
"HTI",2
"HND",2
"HUN",1
"ISL",1
"IND",2
"IDN",2
"IRN",1
"IRQ",2
"IRL",1
"ISR",1
"ITA",1
"JAM",2
"JPN",1
"JOR",2
"KAZ",2
"KEN",2
"KIR",2
"KWT",1
"KGZ",2
"LAO",2
"LVA",1
"LBN",1
"LSO",2
"LBR",2
"LBY",2
"LTU",1
"LUX",1
"MDG",2
"MWI",2
"MYS",2
"MDV",2
"MLI",2
"MLT",1
"MRT",2
"MUS",1
"MEX",1
"FSM",2
"MNG",2
"MNE",1
"MAR",2
"MOZ",2
"MMR",2
"NAM",2
"NPL",2
"NLD",1
"NZL",1
"NIC",2
"NER",2
"NGA",2
"MKD",1
"NOR",1
"PSE",2
"OMN",2
"PAK",2
"PAN",1
"PNG",2
"PRY",2
"PER",1
"PHL",2
"POL",1
"PRT",1
"PRI",1
"QAT",2
"KOR",1
"MDA",1
"ROU",1
"RUS",1
"RWA",2
"LCA",1
"VCT",1
"WSM",2
"STP",2
"SAU",2
"SEN",2
"SRB",1
"SYC",2
"SLE",2
"SGP",1
"SVK",1
"SVN",1
"SLB",2
"SOM",2
"ZAF",2
"SSD",2
"ESP",1
"LKA",2
"SDN",2
"SUR",2
"SWE",1
"CHE",1
"SYR",2
"TJK",2
"THA",1
"TLS",2
"TGO",2
"TON",2
"TTO",1
"TUN",1
"TUR",1
"TKM",2
"UGA",2
"UKR",1
"ARE",2
"GBR",1
"TZA",2
"USA",1
"URY",1
"UZB",2
"VUT",2
"VEN",2
"VNM",2
"YEM",2
"ZMB",2
"ZWE",2
