"cause","lasso_lambda.1se","lasso_lambda.min","enet_lambda.1se","enet_lambda.min"
"Other neoplasms",-1.25817702662216,-2.03496565161667,-1.32035022984961,-1.98695569341919
"Mental and substance use disorders",0.162349512026601,0.149754742494398,0.150983495257228,0.147701612502148
"Infectious and parasitic diseases",-0.0443428896007515,-0.0355887792499808,-0.0420519537552267,-0.0359293574403728
"Musculoskeletal diseases",0.0411944388251277,0.0880498167689095,0.0424929726715526,0.0835658801984128
"Endocrine, blood, immune disorders",-0.0386669555730628,-0.0586411713895746,-0.0764589845679639,-0.0694327730421535
"Neurological conditions",0.0216849625738382,0.0856987121244868,0.0522552263950407,0.0894143795489835
"Diabetes mellitus",0.0176346771777635,0.0316910337933051,0.0209062569294663,0.031985802765837
"Cardiovascular diseases",-0.0125450424915472,-0.0620418838959258,-0.0247113183179693,-0.0618067680097918
"Digestive diseases",-0.0104678118394995,-0.24405115326847,-0.0265862636320442,-0.239457558895895
"Maternal conditions",-0.00769201580179722,-0.0286930248254458,-0.0862375383159715,-0.0574182801655202
"Sense organ diseases",-0.0060326713522491,-0.0456163264789225,-0.0120564835017684,-0.0447693696780152
"Neonatal conditions",0.00324816725889614,0.12811874250825,0.0192226674251371,0.125354006305714
"Respiratory Infectious",0,-0.158944212457346,0,-0.153752818903315
"Nutritional deficiencies",0,-0.00622197314384082,0,-0.00698437712560871
"Malignant neoplasms",0,0,0,0
"Respiratory diseases",0,0.0076200938109886,0.0171993668826344,0.0154594627295746
"Genitourinary diseases",0,0,0,0
"Skin diseases",0,0.0548902604446581,0,0.0523195795922131
"Congenital anomalies",0,0.635002727741707,0.104991502140727,0.640749241508271
"Oral conditions",0,0.0413409190713758,0,0.0490958046302419
"Unintentional injuries",0,0,0,0
"Intentional injuries",0,0.0184453062307789,0,0.0171626397544598
